# Curated file of exceptions
# Source; 	Target; 	Other; 	Reason(s); 	Comments

#@override reason=digraph

1F1A7;	0020 0048 0044 0052 0020;	missing_NFKC	 # ( 🆧 →  HDR  )	SQUARED HDR → SPACE + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER D + LATIN CAPITAL LETTER R + SPACE
1F1A8;	0020 0048 0069 002D 0052 0065 0073 0020;	missing_NFKC	 # ( 🆨 →  Hi-Res  )	SQUARED HI-RES → SPACE + LATIN CAPITAL LETTER H + LATIN SMALL LETTER I + HYPHEN-MINUS + LATIN CAPITAL LETTER R + LATIN SMALL LETTER E + LATIN SMALL LETTER S + SPACE
1F1A9;	0020 004C 006F 0073 0073 006C 0065 0073 0073 0020;	missing_NFKC	 # ( 🆩 →  Lossless  )	SQUARED LOSSLESS → SPACE + LATIN CAPITAL LETTER L + LATIN SMALL LETTER O + LATIN SMALL LETTER S + LATIN SMALL LETTER S + LATIN SMALL LETTER L + LATIN SMALL LETTER E + LATIN SMALL LETTER S + LATIN SMALL LETTER S + SPACE
1F1AA;	0020 0053 0048 0056 0020;	missing_NFKC	 # ( 🆪 →  SHV  )	SQUARED SHV → SPACE + LATIN CAPITAL LETTER S + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER V + SPACE
1F1AB;	0020 0055 0048 0044 0020;	missing_NFKC	 # ( 🆫 →  UHD  )	SQUARED UHD → SPACE + LATIN CAPITAL LETTER U + LATIN CAPITAL LETTER H + LATIN CAPITAL LETTER D + SPACE
1F1AC;	0020 0056 004F 0044 0020;	missing_NFKC	 # ( 🆬 →  VOD  )	SQUARED VOD → SPACE + LATIN CAPITAL LETTER V + LATIN CAPITAL LETTER O + LATIN CAPITAL LETTER D + SPACE
1F520;	0061 0062 0063 0064;	missing_NFKC	 # ( 🔠 → abcd )	INPUT SYMBOL FOR LATIN CAPITAL LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C + LATIN SMALL LETTER D
1F521;	0061 0062 0063 0064;	missing_NFKC	 # ( 🔡 → abcd )	INPUT SYMBOL FOR LATIN SMALL LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C + LATIN SMALL LETTER D
1F522;	0031 0032 0033 0034;	missing_NFKC	 # ( 🔢 → 1234 )	INPUT SYMBOL FOR NUMBERS → DIGIT ONE + DIGIT TWO + DIGIT THREE + DIGIT FOUR
1F523;	3012 266A 0026 0025;	missing_NFKC	 # ( 🔣 → 〒♪&% )	INPUT SYMBOL FOR SYMBOLS → POSTAL MARK + EIGHTH NOTE + AMPERSAND + PERCENT SIGN
1F524;	0061 0062 0063;	missing_NFKC	 # ( 🔤 → abc )	INPUT SYMBOL FOR LATIN LETTERS → LATIN SMALL LETTER A + LATIN SMALL LETTER B + LATIN SMALL LETTER C

#@override reason=fixed_NFKC

00DF;	00DF;	fixed_NFKC	 # ( ß → ß )	LATIN SMALL LETTER SHARP S → LATIN SMALL LETTER SHARP S
0130;	0069;	fixed_NFKC	 # ( İ → i )	LATIN CAPITAL LETTER I WITH DOT ABOVE → LATIN SMALL LETTER I
0640;	;	fixed_NFKC	 # ( ـ →  )	ARABIC TATWEEL → 
2044;	002F;	fixed_NFKC	 # ( ⁄ → / )	FRACTION SLASH → SOLIDUS
2215;	002F;	fixed_NFKC	 # ( ∕ → / )	DIVISION SLASH → SOLIDUS
FC5E;	064C 0651;	fixed_NFKC	 # ( ﱞ → ٌّ )	ARABIC LIGATURE SHADDA WITH DAMMATAN ISOLATED FORM → ARABIC DAMMATAN + ARABIC SHADDA
